"课程名称","星期","开始节数","结束节数","老师","地点","周数"
"国家安全教育","2","12","12","焦明江","ZXB-204","6-9"
"高等数学(上)","2","1","2","苏农","ZXA-205","3-17"
"程序设计基础(Python)A","2","5","6","黄宏博","ZXB-303","3-13"
"管理思维C","1","8","9","刘亚娟,张启超,廖赣丽,韩之怡","启明厅","3-10"
"中国近现代史纲要","5","1","3","石桂芳","ZXB-203","15"
"中国近现代史纲要","3","5","7","石桂芳","ZXB-203","3-17"
"形势与政策(1)","2","8","9","陈曦","启明厅","7-9、12"
"基础英语A","5","1","2","史学冬","ZXB-206","16-17"
"军事理论","2","5","6","陈曦","启明厅","1-2"
"大学体育(1)","4","7","8","勇刚","待定","3-17"
"大学生心理健康","1","8","9","","启明厅","11-17"
"英语四级","3","12","12","史学冬","ZXB-505","4-13"
"军事理论","4","5","6","陈曦","启明厅","1"
"军事理论","6","5","6","陈曦","启明厅","1"
"基础英语A","3","3","4","史学冬","ZXB-206","3-17"
"国家安全教育","2","10","11","焦明江","ZXB-204","6-11"
"程序设计基础(Python)A","2","7","7","黄宏博","ZXB-303","3-12"
"高等数学(上)","1","1","2","苏农; 3周","ZXA-205; 汇贤堂","4-17"
"高等数学(上)","5","1","2","苏农","ZXA-205","3-12"
"军事理论","3","5","6","陈曦","启明厅","1"
"军事理论","1","5","6","陈曦","启明厅","2"
"大学生心理健康","2","8","9","","启明厅","14"
"英语四级","3","10","11","史学冬","ZXB-505","4-14"
"军事理论","5","5","6","陈曦","启明厅","1"
"基础英语A","4","1","2","史学冬","ZXB-206","3-17"
"军事理论","7","5","6","陈曦","启明厅","1"